id	ev	het
1	1988	43
2	1988	51
3	1989	11
4	1989	27
5	1989	31
6	1989	35
7	1989	39
8	1989	43
9	1989	47
10	1989	52
11	1990	4
12	1990	8
13	1990	12
14	1990	17
15	1990	21
16	1990	26
17	1990	30
18	1990	34
19	1990	39
20	1990	43
21	1990	47
22	1990	52
23	1991	4
24	1991	9
25	1991	13
26	1991	17
27	1991	21
28	1991	26
29	1991	30
30	1991	34
31	1991	39
32	1991	43
33	1991	48
34	1991	53
35	1992	3
36	1992	5
37	1992	7
38	1992	9
39	1992	11
40	1992	13
41	1992	15
42	1992	17
43	1992	19
44	1992	21
45	1992	24
46	1992	26
47	1992	28
48	1992	30
49	1992	32
50	1992	35
51	1992	37
52	1992	39
53	1992	41
54	1992	43
55	1992	46
56	1992	48
57	1992	50
58	1992	52
59	1993	2
60	1993	4
61	1993	6
62	1993	8
63	1993	10
64	1993	12
65	1993	14
66	1993	16
67	1993	19
68	1993	21
69	1993	23
70	1993	25
71	1993	28
72	1993	30
73	1993	32
74	1993	34
75	1993	36
76	1993	38
77	1993	41
78	1993	43
79	1993	44
80	1993	45
81	1993	46
82	1993	47
83	1993	49
84	1993	50
85	1993	51
86	1993	52
87	1993	53
88	1994	1
89	1994	2
90	1994	3
91	1994	4
92	1994	5
93	1994	6
94	1994	7
95	1994	8
96	1994	9
97	1994	10
98	1994	11
99	1994	12
100	1994	13
101	1994	14
102	1994	15
103	1994	16
104	1994	17
105	1994	18
106	1994	19
107	1994	20
108	1994	21
109	1994	22
110	1994	23
111	1994	24
112	1994	25
113	1994	26
114	1994	27
115	1994	28
116	1994	29
117	1994	30
118	1994	31
119	1994	32
120	1994	33
121	1994	34
122	1994	35
123	1994	36
124	1994	37
125	1994	38
126	1994	39
127	1994	40
128	1994	41
129	1994	42
130	1994	43
131	1994	44
132	1994	45
133	1994	46
134	1994	47
135	1994	48
136	1994	49
137	1994	50
138	1994	51
139	1994	52
140	1995	1
141	1995	2
142	1995	3
143	1995	4
144	1995	5
145	1995	6
146	1995	7
147	1995	8
148	1995	9
149	1995	10
150	1995	11
151	1995	12
152	1995	13
153	1995	14
154	1995	15
155	1995	16
156	1995	17
157	1995	18
158	1995	19
159	1995	20
160	1995	21
161	1995	22
162	1995	23
163	1995	24
164	1995	25
165	1995	26
166	1995	27
167	1995	28
168	1995	29
169	1995	30
170	1995	31
171	1995	32
172	1995	33
173	1995	34
174	1995	35
175	1995	36
176	1995	37
177	1995	38
178	1995	39
179	1995	40
180	1995	41
181	1995	42
182	1995	43
183	1995	44
184	1995	45
185	1995	46
186	1995	47
187	1995	48
188	1995	49
189	1995	50
190	1995	51
191	1995	52
192	1996	1
193	1996	2
194	1996	3
195	1996	4
196	1996	5
197	1996	6
198	1996	7
199	1996	8
200	1996	9
201	1996	10
202	1996	11
203	1996	12
204	1996	13
205	1996	14
206	1996	15
207	1996	16
208	1996	17
209	1996	18
210	1996	19
211	1996	20
212	1996	21
213	1996	22
214	1996	23
215	1996	24
216	1996	25
217	1996	26
218	1996	27
219	1996	28
220	1996	29
221	1996	30
222	1996	31
223	1996	32
224	1996	33
225	1996	34
226	1996	35
227	1996	36
228	1996	37
229	1996	38
230	1996	39
231	1996	40
232	1996	41
233	1996	42
234	1996	43
235	1996	44
236	1996	45
237	1996	46
238	1996	47
239	1996	48
240	1996	49
241	1996	50
242	1996	51
243	1996	52
244	1997	1
245	1997	2
246	1997	3
247	1997	4
248	1997	5
249	1997	6
250	1997	7
251	1997	8
252	1997	9
253	1997	10
254	1997	11
255	1997	12
256	1997	13
257	1997	14
258	1997	15
259	1997	16
260	1997	17
261	1997	18
262	1997	19
263	1997	20
264	1997	21
265	1997	22
266	1997	23
267	1997	24
268	1997	25
269	1997	26
270	1997	27
271	1997	28
272	1997	29
273	1997	30
274	1997	31
275	1997	32
276	1997	33
277	1997	34
278	1997	35
279	1997	36
280	1997	37
281	1997	38
282	1997	39
283	1997	40
284	1997	41
285	1997	42
286	1997	43
287	1997	44
288	1997	45
289	1997	46
290	1997	47
291	1997	48
292	1997	49
293	1997	50
294	1997	51
295	1997	52
296	1998	1
297	1998	2
298	1998	3
299	1998	4
300	1998	5
301	1998	6
302	1998	7
303	1998	8
304	1998	9
305	1998	10
306	1998	11
307	1998	12
308	1998	13
309	1998	14
310	1998	15
311	1998	16
312	1998	17
313	1998	18
314	1998	19
315	1998	20
316	1998	21
317	1998	22
318	1998	23
319	1998	24
320	1998	25
321	1998	26
322	1998	27
323	1998	28
324	1998	29
325	1998	30
326	1998	31
327	1998	32
328	1998	33
329	1998	34
330	1998	35
331	1998	36
332	1998	37
333	1998	38
334	1998	39
335	1998	40
336	1998	41
337	1998	42
338	1998	43
339	1998	44
340	1998	45
341	1998	46
342	1998	47
343	1998	48
344	1998	49
345	1998	50
346	1998	51
347	1998	52
348	1998	53
349	1999	1
350	1999	2
351	1999	3
352	1999	4
353	1999	5
354	1999	6
355	1999	7
356	1999	8
357	1999	9
358	1999	10
359	1999	11
360	1999	12
361	1999	13
362	1999	14
363	1999	15
364	1999	16
365	1999	17
366	1999	18
367	1999	19
368	1999	20
369	1999	21
370	1999	22
371	1999	23
372	1999	24
373	1999	25
374	1999	26
375	1999	27
376	1999	28
377	1999	29
378	1999	30
379	1999	31
380	1999	32
381	1999	33
382	1999	34
383	1999	35
384	1999	36
385	1999	37
386	1999	38
387	1999	39
388	1999	40
389	1999	41
390	1999	42
391	1999	43
392	1999	44
393	1999	45
394	1999	46
395	1999	47
396	1999	48
397	1999	49
398	1999	50
399	1999	51
400	1999	52
401	2000	1
402	2000	2
403	2000	3
404	2000	4
405	2000	5
406	2000	6
407	2000	7
408	2000	8
409	2000	9
410	2000	10
411	2000	11
412	2000	12
413	2000	13
414	2000	14
415	2000	15
416	2000	16
417	2000	17
418	2000	18
419	2000	19
420	2000	20
421	2000	21
422	2000	22
423	2000	23
424	2000	24
425	2000	25
426	2000	26
427	2000	27
428	2000	28
429	2000	29
430	2000	30
431	2000	31
432	2000	32
433	2000	33
434	2000	34
435	2000	35
436	2000	36
437	2000	37
438	2000	38
439	2000	39
440	2000	40
441	2000	41
442	2000	42
443	2000	43
444	2000	44
445	2000	45
446	2000	46
447	2000	47
448	2000	48
449	2000	49
450	2000	50
451	2000	51
452	2000	52
453	2001	1
454	2001	2
455	2001	3
456	2001	4
457	2001	5
458	2001	6
459	2001	7
460	2001	8
461	2001	9
462	2001	10
463	2001	11
464	2001	12
465	2001	13
466	2001	14
467	2001	15
468	2001	16
469	2001	17
470	2001	18
471	2001	19
472	2001	20
473	2001	21
474	2001	22
475	2001	23
476	2001	24
477	2001	25
478	2001	26
479	2001	27
480	2001	28
481	2001	29
482	2001	30
483	2001	31
484	2001	32
485	2001	33
486	2001	34
487	2001	35
488	2001	36
489	2001	37
490	2001	38
491	2001	39
492	2001	40
493	2001	41
494	2001	42
495	2001	43
496	2001	44
497	2001	45
498	2001	46
499	2001	47
500	2001	48
501	2001	49
502	2001	50
503	2001	51
504	2001	52
505	2002	1
506	2002	2
507	2002	3
508	2002	4
509	2002	5
510	2002	6
