id	huzasid	szam
1	44	21
2	248	25
3	716	12
4	836	30
5	671	33
6	677	41
7	153	18
8	971	41
9	394	25
10	1057	11
11	658	30
12	350	12
13	668	25
14	736	15
15	510	35
16	827	32
17	38	37
18	674	34
19	293	11
20	535	21
21	1055	12
22	547	14
23	311	33
24	311	42
25	970	27
26	424	40
27	984	35
28	253	39
29	1117	39
30	918	11
31	779	18
32	575	29
33	644	23
34	991	35
35	655	24
36	159	20
37	306	19
38	654	10
39	657	17
40	481	7
41	783	7
42	226	15
43	553	6
44	418	12
45	1106	38
46	747	3
47	997	3
48	301	6
49	983	36
50	271	3
51	472	11
52	670	12
53	138	17
54	1065	38
55	1124	17
56	222	34
57	393	22
58	826	9
59	705	44
60	89	1
61	735	3
62	1091	31
63	181	38
64	134	15
65	320	23
66	146	39
67	805	7
68	267	8
69	1060	25
70	75	14
71	469	9
72	584	26
73	608	30
74	476	12
75	887	43
76	824	10
77	627	4
78	428	34
79	460	31
80	467	2
81	1043	1
82	297	30
83	962	13
84	228	22
85	689	35
86	54	18
87	98	24
88	825	37
89	18	10
91	177	28
92	1023	20
93	184	34
94	1051	8
95	796	27
96	927	26
97	1034	1
98	476	32
99	412	12
102	18	30
103	314	12
104	912	18
105	814	13
107	10	11
108	36	28
109	288	39
110	825	28
111	336	12
112	822	29
113	784	17
114	119	44
115	974	13
116	124	11
117	608	35
118	546	44
119	267	41
120	256	35
121	909	32
122	308	28
123	624	2
124	91	6
125	175	12
126	735	39
127	787	28
128	64	14
129	74	45
130	762	39
132	474	21
133	516	2
134	686	33
135	559	8
136	996	3
137	395	11
138	6	6
139	894	20
140	784	20
141	820	30
142	145	45
143	318	24
144	328	40
145	333	36
146	264	41
147	477	22
148	406	1
149	119	45
150	99	2
151	737	34
152	1130	16
153	542	45
154	262	9
155	616	44
156	522	34
157	385	10
158	1028	24
159	14	40
160	150	24
161	644	42
162	48	17
163	47	9
164	917	7
165	1017	35
166	577	40
167	939	14
168	735	13
169	49	16
170	574	1
171	141	27
172	134	22
173	801	37
174	217	7
175	383	33
176	832	26
177	319	17
178	532	17
179	694	31
180	1073	32
181	651	14
182	376	40
183	415	37
184	478	5
185	260	45
186	176	30
187	948	17
189	193	34
190	1057	10
191	1124	35
192	196	43
193	450	18
194	220	18
195	1019	15
196	112	33
197	48	24
198	1108	20
199	584	7
200	223	26
201	360	11
202	261	32
203	112	1
204	322	2
205	586	21
206	226	28
207	100	40
208	511	20
