id	huzasid	talalat	darab	ertek
1	547	7	1	10767529
2	886	4	2873	5085
3	323	7	3	2201682
4	982	4	3890	4525
5	343	3	83154	320
6	556	5	47	279873
7	677	5	58	214815
8	496	3	22818	1185
9	1129	5	48	328465
10	345	7	3	3201630
11	584	3	47331	851
12	489	4	2405	3243
13	404	4	4688	1545
14	684	3	52242	1068
15	381	6	1	109933238
16	878	3	54212	1100
17	1042	4	2895	7980
18	450	5	27	269649
19	984	5	38	401810
20	742	5	114	140464
21	786	4	2483	6042
23	1013	6	1	875500050
24	606	5	83	151172
25	674	5	25	497814
26	481	4	3301	2228
28	960	3	41926	1065
29	300	3	58925	389
30	859	4	3901	4675
31	1047	3	31034	1970
32	1075	3	40889	1325
33	307	4	3823	1672
34	377	4	5186	1570
35	501	5	101	108822
36	721	7	5	3851567
37	594	5	57	216919
38	618	7	1	11918675
40	770	3	63862	1120
41	476	4	1586	4766
42	1060	5	51	324505
43	416	3	30416	719
45	634	4	2486	4165
46	392	5	31	242389
47	402	7	2	3520822
48	704	4	1988	6230
49	1065	5	69	267335
50	625	4	1526	7014
51	772	4	4220	5060
52	829	5	57	247560
53	836	4	4003	4375
54	1095	3	43276	1170
55	790	5	137	111918
56	723	3	51140	978
57	803	5	25	551391
58	413	7	1	20244159
59	838	4	2626	7285
60	611	5	121	109150
61	476	3	32028	826
62	548	7	2	5830426
63	949	4	2523	7045
64	914	5	39	349135
65	325	3	51989	422
66	1021	5	26	619875
67	690	4	1336	8896
68	1019	4	2180	7325
69	651	7	2	4865956
70	357	3	44214	604
71	930	3	54916	1020
72	704	3	38703	1120
73	924	3	39571	1110
74	938	5	29	479595
75	802	3	52590	918
76	628	7	3	4505616
77	1102	3	48923	1255
78	1035	4	3007	5430
79	942	4	1545	9290
80	736	3	42334	1134
81	421	4	1884	3482
82	462	4	2277	3520
83	500	5	42	230593
84	500	3	47968	707
85	888	4	2738	5620
86	625	3	29282	1279
87	705	5	20	632503
88	686	7	1	14844054
89	360	4	5175	1484
90	620	3	47543	800
91	685	7	3	10206107
92	1104	4	2628	6645
93	577	3	38417	994
94	774	5	95	234024
96	371	5	43	172024
97	540	7	1	18188249
98	1092	3	48376	1165
99	342	7	1	7538506
100	530	5	47	197806
101	317	7	2	3120179
102	354	5	58	132559
103	835	4	2272	6860
104	353	3	57806	457
105	811	3	58973	1053
106	670	4	5478	2400
107	521	3	33493	977
108	643	4	1869	5463
109	760	7	2	13676468
110	425	5	48	125304
111	1003	4	2084	6945
112	842	5	105	223240
113	966	4	3578	4010
114	719	5	123	158195
115	323	5	48	137605
116	879	3	44879	1175
117	1119	3	46414	1265
118	334	3	37723	548
119	511	3	64156	546
120	561	5	115	87163
121	403	5	49	146647
122	852	5	62	499580
123	826	4	3353	4945
124	619	7	1	11524761
125	698	5	49	239120
126	540	4	1879	4591
127	361	3	59043	440
128	1016	4	2536	6020
129	617	4	4236	2759
130	927	5	52	257795
131	564	3	47654	775
132	550	3	55487	900
133	498	4	1864	4988
134	442	3	50277	474
135	691	3	38322	1063
136	944	3	45320	1165
137	1050	3	44645	1515
138	614	7	1	12239651
139	940	5	72	202030
140	319	4	3086	1818
141	590	4	3225	3565
142	464	4	1909	4224
143	352	4	3506	2041
144	916	3	37932	1345
145	445	3	40449	628
146	308	4	3510	1785
147	360	5	182	42254
148	817	5	59	273115
149	1010	5	36	498210
150	569	3	54381	817
151	727	4	2185	6086
152	306	5	142	72249
153	551	5	68	223963
154	1016	3	39846	1340
155	761	5	45	314195
156	379	4	2718	2752
157	524	4	1282	7605
158	926	4	2015	6140
159	586	5	81	144207
160	1049	3	43011	1545
161	302	7	6	1319381
162	604	4	3188	4565
163	676	7	1	12280124
164	505	4	3816	2932
165	571	3	73455	695
166	392	4	2081	3607
167	828	4	3742	3480
168	544	3	33624	958
169	583	5	32	343952
170	296	5	77	65683
171	626	7	2	10551144
172	893	3	39941	1470
173	575	3	57155	703
174	1117	5	24	680035
175	496	5	15	515163
177	722	4	5391	3667
178	333	4	2649	2188
179	327	6	1	41671601
180	1072	4	3479	4655
181	799	6	1	119495108
182	774	3	76049	1023
183	731	6	3	143733858
184	736	4	2029	6762
185	737	3	46693	1019
186	720	5	46	406818
187	805	3	51523	975
188	362	7	2	8268312
189	890	5	32	443635
190	788	7	2	7726808
191	952	4	3003	4530
192	795	5	182	80688
193	644	3	50122	748
194	682	4	2238	5812
195	663	3	49384	902
196	778	3	75120	999
197	608	5	16	713588
198	335	4	2433	4887
199	460	5	95	72232
200	961	5	27	461215
201	435	5	36	207328
202	487	5	32	229454
203	349	4	2372	2847
204	845	3	81084	1140
205	537	7	2	4825829
206	400	7	2	3602647
207	607	5	28	447030
208	734	3	44131	1044
209	1015	3	49358	1180
210	886	5	93	157025
211	874	3	46581	1230
212	816	3	53344	1095
213	757	5	77	167960
214	576	6	1	120271813
215	852	3	86047	1260
216	898	4	2444	5685
217	565	5	58	182755
218	364	3	54528	555
219	537	4	2266	4259
220	783	5	100	310346
221	428	7	2	6344385
222	559	4	2508	4156
223	660	4	2246	4939
225	426	3	30991	689
226	356	3	55983	449
227	951	3	38371	1240
228	730	4	2666	5228
229	552	5	75	212788
230	1061	4	2534	6810
231	1034	5	103	154870
232	930	5	57	280340
233	846	5	69	382190
235	941	5	36	401105
236	367	4	1890	3914
237	806	4	2733	5776
238	1033	4	1450	10875
239	551	7	1	29495288
240	705	7	2	12517470
241	374	5	49	152421
242	635	3	29080	1265
243	406	3	64935	408
244	1079	4	1587	9485
245	477	3	33290	804
247	479	5	47	171088
248	347	3	61679	352
249	700	7	3	3836435
250	934	6	1	203307105
251	525	4	3093	3194
252	1060	3	49947	1160
253	747	3	43894	999
254	986	5	140	104845
255	674	7	1	25124633
256	330	4	3021	1910
257	823	3	63298	855
258	301	4	5227	1328
259	444	4	2620	2585
260	520	7	2	9396619
262	860	3	56293	1075
263	624	3	40409	913
264	503	3	59242	622
265	662	3	57572	753
266	944	4	2172	6955
267	680	5	67	198998
268	880	3	56660	1095
269	627	5	54	207420
270	424	3	39267	540
271	674	4	2012	6186
272	724	3	36183	1327
273	502	3	35029	1017
274	642	7	1	56542136
275	557	4	2101	4856
276	1060	4	2878	5750
277	418	3	33825	642
278	745	4	3291	4200
279	316	5	290	25656
280	682	7	3	4335941
281	967	3	37434	1485
283	461	5	77	88023
284	1098	4	1785	9320
285	797	5	67	252065
286	781	7	3	8787463
287	1029	4	2005	8150
288	939	3	37390	1200
289	1115	3	47109	1425
290	579	5	24	475228
291	701	6	1	41290874
292	528	3	58638	773
293	862	3	53171	1100
294	729	5	69	198599
295	427	5	39	158732
296	565	4	2691	3939
297	645	3	57549	685
298	737	4	2683	5068
299	453	6	1	230838697
300	410	7	1	6915332
301	1130	3	39475	1320
302	568	5	34	372801
303	401	5	124	53979
304	910	4	2991	5045
305	472	7	3	2656566
306	685	5	49	299628
307	628	5	73	185162
308	1049	4	2191	8675
309	423	5	67	104400
310	778	4	4388	4889
311	862	5	55	303985
312	1111	4	3105	5490
313	485	4	2237	3149
314	756	4	4661	2691
315	851	3	95811	1005
317	1105	4	2252	8120
318	904	5	36	379345
319	872	5	210	105340
320	755	4	2149	6031
321	1094	5	24	603700
322	471	5	81	99892
323	416	4	1392	4486
324	1008	3	46600	1220
325	1106	4	2659	7515
326	1073	4	2922	4980
327	849	5	105	282615
328	354	3	61920	433
329	847	3	65196	1440
331	377	3	70852	401
332	343	4	6129	1246
333	466	6	1	139982727
334	1114	4	1781	9900
335	560	7	1	10092237
336	1123	3	44733	1360
337	637	7	1	32080136
338	995	3	43481	1130
341	305	3	67448	443
342	968	5	69	218495
343	315	7	3	2323025
344	851	5	94	292350
345	378	3	38421	650
347	306	6	1	308415906
348	607	3	43760	1001
349	698	4	2630	4455
350	510	4	4180	2536
351	439	7	1	7293093
352	1023	4	3298	5830
353	550	5	70	203797
354	933	3	40326	1260
355	346	3	72531	339
356	655	7	1	23002369
357	638	4	4235	2473
358	799	4	3147	4165
359	492	7	2	3645811
360	1031	3	34910	1475
361	1041	4	4341	5400
362	596	4	3572	3784
363	451	5	118	64021
364	529	7	6	4321542
365	950	4	2425	5655
366	494	5	50	152422
367	1001	6	1	124999785
368	800	4	3904	3290
369	716	3	52823	1091
370	1013	5	92	201895
371	1124	5	53	332895
372	783	7	3	10344852
373	581	4	2833	3912
374	949	3	47257	1315
375	431	3	43463	506
376	997	5	89	185615
377	534	5	24	396846
378	814	3	60075	980
379	597	4	2752	5104
380	507	3	97550	630
381	664	4	3056	4211
382	741	3	46171	1065
383	767	3	55658	1233
384	1005	4	2238	6705
385	606	7	3	4182428
386	950	3	40087	1200
387	549	5	91	145361
388	415	4	4279	1614
389	513	7	1	10479039
390	583	4	2292	4802
391	1036	3	45582	1390
392	1057	5	31	491550
393	523	5	51	190183
394	531	5	40	229587
395	511	5	169	59233
396	572	7	1	16387024
397	586	7	6	3870166
398	1077	4	2345	7170
399	346	5	114	61962
400	536	3	35114	954
401	686	4	3803	3903
402	312	7	2	3291724
403	601	7	2	6912996
404	325	4	3477	1804
405	1004	4	2327	6315
406	740	3	47086	1035
407	845	5	68	387980
408	894	3	40456	1165
409	900	4	3096	4310
410	397	5	76	91301
411	555	4	3549	3740
412	651	5	39	249536
413	355	3	88210	319
414	474	4	2715	2724
415	974	5	44	417505
416	615	5	129	95863
417	772	3	69810	1070
418	382	4	3069	2697
419	1121	4	2531	6325
420	771	4	4346	5441
421	1125	4	3128	5605
422	546	5	47	218503
423	872	6	2	423801945
424	648	5	205	55209
425	370	4	2265	3090
426	458	5	35	226524
427	296	4	3660	1382
428	937	3	46901	1040
429	374	7	1	7468644
430	652	4	4544	2498
432	623	4	2083	5569
433	746	3	36762	1172
434	312	5	139	47636
435	948	3	62600	930
436	438	4	5351	1357
437	730	5	45	309727
438	757	4	3138	4121
439	570	3	61527	795
440	751	5	17	794913
441	739	7	2	13084177
442	539	5	26	367771
443	917	4	4180	3475
444	349	3	50896	462
445	703	7	3	11914360
447	968	4	3000	5025
448	449	4	3903	1838
449	540	5	25	345049
450	754	7	1	14175762
451	475	3	20002	1310
452	659	5	26	424385
453	943	4	1732	8260
454	1032	4	3404	4635
455	1103	3	38281	1545
456	465	4	1608	4929
457	434	4	2870	2387
458	363	4	3959	2188
459	430	4	2495	2412
460	584	4	2706	4251
462	764	4	2196	7208
463	953	5	26	537305
464	465	3	33388	831
466	871	4	3566	6270
467	793	4	2352	6410
468	710	5	32	422411
469	431	4	2941	2134
470	780	7	1	25638694
471	320	3	58845	340
472	532	7	5	1843382
473	878	6	1	469483390
474	447	3	50857	457
475	976	4	3527	4905
