gepid	szoftverid	verzio	datum
11	102	ver16.04	
29	102	ver16.04.00.0	2016.12.06
34	5	ver0.53.00.00	2013.08.30
76	39	ver0.67	2016.04.25
24	19	ver4.42	
1	55	ver15.4.3502.0922	2011.07.21
70	87	ver55.0.2883.87	2016.12.13
3	34	ver6.0.450	2016.12.07
49	63	ver49.0.1	
21	83	ver3.9.141.259	
31	90	ver4.0.41.0	2012.11.02
34	74	ver4.0.12	2016.11.05
2	72	ver2.0.103.0	2016.10.24
34	90	ver5.0.286.0	2016.11.05
13	14	ver2.14.0	2015.06.25
14	17	ver1.22	
76	76	ver3.0	
50	34	ver6.0.450	2016.08.26
16	86	ver2.5.8.0	2016.05.01
73	102	ver16.02	
66	7	ver3.0.20.0	2016.05.03
12	29	ver1.4.20	2016.05.03
74	102	ver9.10	
29	70	ver5.1.41212.0	2016.01.26
56	81	ver2.39	2016.11.23
20	42	ver2.4.1	2016.12.05
56	48	ver1.32.4066.7445	2016.12.15
47	30	ver2.1.2	2016.04.24
36	63	ver50.0.2	
22	57	ver5.2.3.3	2016.11.30
32	30	ver2.1.2	2016.11.03
71	22	ver4.5.7.6282	2016.08.19
10	70	ver5.1.50901.0	2016.10.12
23	12	ver15.020.20042	2016.11.07
66	1	ver23.0.0.257	2016.09.14
13	9	ver5.24	
14	19	ver4.42	
33	88	ver2.2.4	
12	51		2014.08.15
70	19	ver4.42	
22	19	ver4.42	
54	85	ver0.7.0	2016.03.25
40	87	ver50.0.2661.75	2016.04.19
13	64	ver41.0.2353.69	
41	75	ver5.9.3	2016.12.05
74	62	ver7.30.105	2016.11.23
63	102	ver16.04	
52	89	ver3.22.2.2	
21	96		2013.05.25
14	30	ver2.1.2	2016.03.30
43	68	ver8.1.0.1013	2016.11.12
11	63	ver50.1.0	
17	38	ver4	2011.11.16
18	88	ver2.2.4	
47	88	ver2.2.4	
44	30	ver2.1.0	2015.06.24
59	39	ver0.67	2016.04.13
45	89	ver3.23.0.2	
29	30	ver2.0.5	2014.08.30
12	12	ver15.020.20042	2016.11.05
58	12	ver15.020.20042	2016.11.07
55	30	ver2.1.2	2016.04.11
38	68	ver8.1.1.1115	2016.11.23
14	36	ver1.2.4.10	2015.02.15
28	90	ver5.0.229.0	2016.04.24
62	83	ver3.9.141.259	
45	49	ver7.1.7.2606	2016.10.21
63	34	ver8.0.1120.15	2016.11.24
58	48	ver1.32.3889.0961	2016.11.22
4	7	ver3.0.20.0	2016.11.24
36	53	ver10.1.16	2016.05.03
32	59	ver451	
22	23	ver8.0.310.13	2015.02.05
54	60	ver0.91	2015.02.02
32	44	ver2.0.3	2016.11.04
38	87	ver55.0.2883.87	2016.12.15
8	7	ver2.2.2	2013.05.16
23	80	ver2.0.2	2012.11.02
28	1	ver23.0.0.257	2016.09.15
38	102	ver16.04	
15	48	ver1.32.4066.7445	2016.12.13
8	88	ver2.2.4	
59	87	ver55.0.2883.87	2016.12.13
67	78	ver3.2.2	
40	96		2014.08.19
53	34	ver8.0.770.3	2016.04.03
11	1	ver24.0.0.180	2016.12.14
52	97	ver2.8.18	2016.09.12
45	97	ver2.8.18	2016.09.02
24	80	ver2.0.2	2012.05.16
28	87	ver54.0.2840.99	2016.11.05
12	34	ver8.0.1120.15	2016.11.05
76	22	ver4.5.4.5306	2015.02.15
14	85	ver0.5.4	2013.05.16
31	102	ver16.04.00.0	2016.11.07
39	94		
22	17	ver1.23.1	
37	21	ver18.0.0.366	
28	85	ver0.5.7	2014.02.22
39	66	ver7.2.1	
9	21	ver24.0.0.186	
33	29	ver1.4.20	2016.08.21
33	5	ver0.53.00.00	2013.08.29
58	57	ver5.2.3.3	2016.11.22
9	67	ver12.2.5.195	
13	48	ver1.32.3889.0961	2016.12.06
51	21	ver24.0.0.186	
11	20	ver2.78.1	2016.11.03
24	46	ver24.0.0.186	
61	75	ver5.9.2	2016.11.05
39	21	ver24.0.0.186	
70	70	ver5.1.50901.0	2016.10.12
54	22	ver4.5.7.6389	2016.11.05
53	70	ver5.1.41212.0	2016.04.03
15	14	ver2.14.0	2015.02.05
22	42	ver2.4.1	2016.11.30
39	102	ver16.04	
44	68	ver8.1.0.1013	2016.11.12
61	64	ver41.0.2353.46	
73	81	ver2.36	2016.08.20
24	5	ver0.53.00.00	2013.08.27
45	36	ver1.2.6.7	2015.06.25
12	67	ver12.2.5.195	
71	30	ver2.1.2	2016.04.11
20	21	ver24.0.0.186	
15	70	ver5.1.50901.0	2016.10.12
38	7	ver3.0.20.0	2016.11.24
8	5	ver0.53.00.00	2013.05.16
62	67	ver12.2.5.195	
32	13	ver1.16	
65	102	ver16.02	
29	54	ver1.5.4	
9	78	ver3.2.2	
11	7	ver3.0.20.0	2016.11.04
49	56	ver2.0.0.372	
10	1	ver23.0.0.257	2016.10.10
71	21	ver24.0.0.186	
71	48	ver1.32.3889.0961	2016.11.22
47	1	ver23.0.0.257	2016.09.20
12	103	ver12.3.5	2016.08.19
63	103	ver12.6.0	2016.11.23
20	28	ver7.2.2	
21	63	ver50.0	
72	63	ver50.1.0	
12	60	ver0.91	2015.03.08
47	57	ver5.2.0.4	2016.08.19
32	22	ver4.5.7.6389	2016.11.04
49	84	ver11.0.705.1	2013.01.07
24	57	ver5.2.0.4	2016.08.24
21	67	ver12.2.5.195	
34	7	ver2.2.1	
22	102	ver16.04.00.0	2016.11.02
32	89	ver3.23.0.2	
32	90	ver5.0.286.0	2016.11.04
41	87	ver55.0.2883.87	2016.12.13
31	88	ver2.2.4	
52	14	ver2.14.0	2015.06.25
76	28	ver7.2.2	
38	90	ver5.0.286.0	2016.11.23
13	30	ver2.1.0	2015.06.25
67	103	ver12.3.5	2016.08.21
21	88	ver2.2.4	
54	48	ver1.32.4066.7445	2016.12.12
37	68	ver3.1.3.1030	
39	30	ver2.1.2	2016.04.25
73	1	ver24.0.0.180	2016.12.14
3	53	ver9.5.3	2016.12.15
22	70	ver5.1.50901.0	2016.10.12
54	39	ver0.67	2016.03.25
14	70	ver5.1.50901.0	2016.10.12
47	85	ver0.5.7	2014.02.22
32	75	ver5.9.3	2016.12.05
40	63	ver50.0	
61	12	ver15.020.20042	2016.11.05
46	9	ver5.22	
34	97	ver2.8.18	2016.08.19
34	78	ver3.2.2	
70	60	ver0.91	2016.08.26
60	102	ver16.04	
76	64	ver41.0.2353.69	
17	46	ver23.0.0.207	
12	73		
8	97	ver2.8.18	2016.08.22
20	102	ver16.02	
31	64	ver41.0.2353.69	
55	29	ver1.4.20	2016.04.25
38	75	ver5.9.3	2016.12.15
22	74	ver4.0.10	2016.08.19
11	21	ver24.0.0.186	
39	28	ver7.2.2	
34	87	ver54.0.2840.87	2016.11.05
9	74	ver4.0.9	2016.04.08
15	51		2014.08.15
63	90	ver5.0.286.0	2016.11.23
15	30	ver2.1.0	2015.07.24
29	29	ver1.4.20	2016.04.25
54	94		
23	1	ver23.0.0.257	2016.11.12
53	64	ver36.0.2130.46	
57	53	ver10.1.16	2016.05.24
32	21	ver23.0.0.207	
62	42	ver2.4.0	2016.11.06
21	21	ver23.0.0.207	
43	46	ver24.0.0.186	
76	17	ver1.22	
61	9	ver5.23	
13	39	ver0.67	2016.04.10
39	39	ver0.67	2016.04.25
1	21	ver23.0.0.207	
47	21	ver23.0.0.207	
45	68	ver8.0.2.805	2016.09.11
55	21	ver23.0.0.207	
35	87	ver55.0.2883.75	2016.12.07
73	101	ver15.4.22	
45	74	ver4.0.9	2016.04.12
53	1	ver21.0.0.176	2016.04.03
31	80	ver2.0.2	2012.11.02
24	61	ver1516.1.0	
42	56	ver2.0.0.372	
2	38	ver4	2016.10.24
44	63	ver50.1.0	
57	84	ver10.8.364.0	2011.11.28
43	14	ver2.14.0	2013.08.26
25	7	ver3.0.20.0	2016.11.24
26	29	ver1.4.20	2016.11.11
31	87	ver55.0.2883.75	2016.12.08
7	104	ver1.2.61	2015.02.25
70	30	ver2.1.2	2016.08.25
67	86	ver2.5.8.0	2014.09.16
4	74	ver4.0.12	2016.11.23
70	97	ver2.8.18	2016.08.27
68	88	ver1.1.11	
66	49	ver7.1.7.2606	2016.11.22
63	87	ver54.0.2840.99	2016.11.23
55	83	ver3.9.141.259	
56	9	ver5.24	
21	36	ver1.1.9.13	2014.08.30
31	12	ver15.020.20042	2016.11.07
76	30	ver2.1.2	2016.04.25
63	67	ver12.2.5.195	
24	68	ver8.0.2.805	2016.08.24
73	67	ver12.2.5.195	
16	9	ver5.24	
20	81	ver2.36	2016.08.19
54	97	ver2.8.18	2016.08.19
1	9	ver5.24	
21	54	ver1.4.1	
52	22	ver4.5.7.6389	2016.11.06
62	81	ver2.38	2016.11.06
59	57	ver5.2.3.3	2016.12.13
23	49	ver7.1.7.2606	2016.11.23
20	83	ver3.9.141.259	
18	46	ver23.0.0.205	
73	12	ver15.020.20042	2016.11.07
33	83	ver3.9.141.259	
55	1	ver23.0.0.257	2016.09.14
71	88	ver2.2.4	
12	21	ver23.0.0.207	
9	83	ver3.9.141.259	
62	102	ver16.04	
54	91	ver0.6.2	2012.09.02
65	34	ver8.0.1010.13	2016.09.08
18	50	ver3.0.6	
29	86	ver2.5.8.0	2014.08.30
24	61	ver1415.1.0	
14	89	ver3.22.2.2	
50	102	ver16.04	
29	21	ver24.0.0.186	
63	74	ver4.0.12	2016.11.23
63	19	ver4.42	
39	65	ver4.9.9.2	
34	29	ver1.4.20	2016.04.28
54	49	ver7.1.7.2606	2016.11.05
2	44	ver1.0.0	
69	88	ver2.2.4	
66	36	ver1.2.8.12	2016.05.01
4	81	ver2.39	2016.11.23
23	64	ver41.0.2353.69	
62	103	ver12.5.0	2016.11.06
40	14	ver2.14.0	2014.12.04
70	86	ver2.5.8.0	2014.02.23
36	58	ver16.4.3528.0331	2016.09.05
10	63	ver50.0.2	
43	30	ver2.1.2	2016.03.21
62	88	ver2.2.4	
59	29	ver1.4.20	2016.05.03
23	19	ver4.42	
33	14	ver2.14.0	2013.08.29
1	62	ver7.0.102	2015.04.15
19	53	ver9.5.5	2014.11.27
35	30	ver2.1.2	2016.04.03
76	29	ver1.4.20	2016.04.25
34	12	ver15.020.20042	2016.11.07
15	22	ver4.5.7.6389	2016.11.05
56	7	ver3.0.20.0	2016.11.24
76	86	ver2.5.8.0	2013.12.14
56	74	ver4.0.12	2016.11.23
61	14	ver2.14.0	2015.06.25
11	97	ver2.8.18	2016.11.03
8	9	ver5.24	
25	21	ver24.0.0.186	
4	48	ver1.32.3889.0961	2016.11.23
17	63	ver50.0.2	
2	102	ver16.04	
